"","EVTYPE"
"198","FREEZING RAIN/SLEET"
"199","DUST STORM/HIGH WINDS"
"200","HEAVY SNOW/BLIZZARD"
"201","THUDERSTORM WINDS"
"202","HIGH WIND/HEAVY SNOW"
"203","HIGH WIND/BLIZZARD"
"204","SNOW/ BITTER COLD"
"205","SNOW/BLOWING SNOW"
"206","TSTMW"
"207","HIGH WIND AND SEAS"
"208","LANDSLIDES"
"209","MARINE ACCIDENT"
"210","COASTAL STORM"
"211"," FLASH FLOOD"
"212","URBAN/SMALL STREAM FLOOD"
"213","TSTM WIND (G40)"
"214","WATERSPOUT TORNADO"
"215","THUNDERSTORM WINDSHAIL"
"216","NON-TSTM WIND"
"217","GRADIENT WIND"
"218","WET MICROBURST"
"219","LAKE FLOOD"
"220","LIGHTNING  WAUSEON"
"221","SNOW/ICE"
"222","TSTM WIND (G35)"
"223","TSTM WIND 55"
"224","LIGHTNING AND HEAVY RAIN"
"225","THUNDERSTORM WIND 98 MPH"
"226","THUNDERSTORM WINDS 63 MPH"
"227","THUNDERSTORM  WINDS"
"228","TSTM WIND 65)"
"229","WILD/FOREST FIRES"
"230","GUSTY WIND/HAIL"
"231","BLOWING DUST"
"232","THUNDERSTORM WIND/ TREES"
"233","THUNDERSTORM WINDS/ FLOOD"
"234","HIGH WIND (G40)"
"235","THUNDERSTORMS WIND"
"236","WATERSPOUT-TORNADO"
"237","BLOWING SNOW"
"238","FROST"
"239","TIDAL FLOODING"
"240","THUNDERSTORMS WINDS"
"241","WINTRY MIX"
"242","ICE ROADS"
"243","FLASH FLOOD - HEAVY RAIN"
"244","WHIRLWIND"
"245","LIGHTNING THUNDERSTORM WINDS"
"246","GRASS FIRES"
"247","HIGH WIND 48"
"248","ROUGH SURF"
"249","HEAVY SNOW SHOWER"
"250","TSTM WIND 45"
"251","FLOOD/FLASH/FLOOD"
"252","TSTM WIND (41)"
"253"," TSTM WIND (G45)"
"254","LANDSPOUT"
"255","LIGHTNING/HEAVY RAIN"
"256","HIGH WINDS/HEAVY RAIN"
"257","APACHE COUNTY"
"258","THUNDERSTORM WINDS/FUNNEL CLOU"
"259","THUNDERSTORMS"
"260","MINOR FLOODING"
"261","LIGNTNING"
"262","THUNDERSTORM WIND/LIGHTNING"
"263","MUD SLIDES URBAN FLOODING"
"264","ICE JAM"
"265","THUNDERSTORM WINDS."
"266","HAIL 100"
"267","THUNDERSTORM WIND G55"
"268","URBAN AND SMALL"
"269","THUNDERSTORM HAIL"
"270","LIGHTING"
"271","THUNDERSTORM WINDS AND"
"272","TSTM WIND DAMAGE"
"273","FLOOD FLASH"
"274","THUNDERSTORM WINDS/FLOODING"
"275","THUNDEERSTORM WINDS"
"276","SNOW ACCUMULATION"
"277","SNOW/ ICE"
"278","?"
"279","THUNDERSTROM WIND"
"280","FLOOD/FLASHFLOOD"
"281","TSTM WIND  (G45)"
"282","NON-SEVERE WIND DAMAGE"
"283","THUNDERSTORM WIND 65MPH"
"284","THUNDERSTORM WIND TREES"
"285","THUNDERSTORM WIND 65 MPH"
"286","HIGH  WINDS"
"287","THUNDERSTORM WIND/AWNING"
"288","THUNDERSTORM DAMAGE TO"
"289","FLASH FLOOD/ STREET"
"290","DOWNBURST"
"291","GUSTY WIND/RAIN"
"292","GUSTY WIND/HVY RAIN"
"293","RURAL FLOOD"
"294","THUNDERSTORM WINS"
"295","WATERSPOUT/ TORNADO"
"296","HAIL 0.75"
"297","THUNDERSTORM WIND/ TREE"
"298","HAIL 75"
"299","THUNDERESTORM WINDS"
"300","THUNERSTORM WINDS"
"301","ICE JAM FLOOD (MINOR"
"302","TSTM WIND 40"
"303","TSTM WIND G45"
"304","HIGH SEAS"
"305","RECORD RAINFALL"
"306","HAIL/WIND"
"307","WIND/HAIL"
"308","DUST DEVIL WATERSPOUT"
"309","TORNDAO"
"310","THUNDERSTORM WIND/HAIL"
"311","THUNDERSTORMWINDS"
"312","COLD AIR TORNADO"
"313","SNOW AND ICE"
"314","TSTM WIND"
"315","THUNDERSTORM WINDS"
"316","BLIZZARD"
"317","FOG"
"318","WILD/FOREST FIRE"
"319","HEAT WAVE"
"320","RIP CURRENTS"
"321","EXTREME COLD"
"322","HIGH WINDS"
"323","EXTREME HEAT"
"324","GLAZE"
"325","WILD FIRES"
"326","ICE"
"327","WIND"
"328","URBAN/SML STREAM FLD"
"329","WINTER WEATHER/MIX"
"330","TSTM WIND/HAIL"
"331","LANDSLIDE"
"332","COLD"
"333","HURRICANE"
"334","WINTRY MIX"
"335","WINTER WEATHER MIX"
"336","HEAVY SURF/HIGH SURF"
"337","RECORD HEAT"
"338","TROPICAL STORM GORDON"
"339","STORM SURGE"
"340","HEAVY SURF"
"341","WATERSPOUT/TORNADO"
"342","SNOW SQUALL"
"343","SNOW/HIGH WINDS"
"344","SNOW"
"345","ICY ROADS"
"346","FLOOD/FLASH FLOOD"
"347","DRY MICROBURST"
"348","FREEZING RAIN"
"349","UNSEASONABLY WARM AND DRY"
"350","MIXED PRECIP"
"351","STRONG WINDS"
"352","WINTER STORMS"
"353","THUNDERSTORMW"
"354","UNSEASONABLY WARM"
"355","FLASH FLOODING"
"356","TORNADOES, TSTM WIND, HAIL"
"357","BLACK ICE"
"358","EXCESSIVE RAINFALL"
"359","HIGH WIND AND SEAS"
"360","EXTREME WINDCHILL"
"361","HEAT WAVE DROUGHT"
"362","RECORD/EXCESSIVE HEAT"
"363","FREEZING DRIZZLE"
"364","WINTER STORM HIGH WINDS"
"365","BLOWING SNOW"
"366","TORNADO F2"
"367","GLAZE/ICE STORM"
"368","GUSTY WINDS"
"369","COLD AND SNOW"
"370","FLASH FLOOD/FLOOD"
"371","THUNDERSTORM"
"372","ROUGH SEAS"
"373","MARINE MISHAP"
"374","HEAVY SNOW/ICE"
"375","THUNDERSTORM  WINDS"
"376","SMALL HAIL"
"377","HIGH WINDS/SNOW"
"378","FLOODING"
"379","NON-SEVERE WIND DAMAGE"
"380","HURRICANE ERIN"
"381","HYPOTHERMIA/EXPOSURE"
"382","LOW TEMPERATURE"
"383","RAIN/SNOW"
"384","MUDSLIDE"
"385","HEAT WAVES"
"386","COASTAL FLOODING/EROSION"
"387","RIP CURRENTS/HEAVY SURF"
"388","SNOW AND ICE"
"389","FLASH FLOODING/FLOOD"
"390","ROUGH SURF"
"391","HIGH SEAS"
"392","COASTAL STORM"
"393","HIGH WIND/SEAS"
"394","THUNDERSTORM WINDSS"
"395","HEAVY RAINS"
"396","TORRENTIAL RAINFALL"
"397","FROST"
"398","OTHER"
"399","HIGH WINDS/COLD"
"400","RIVER FLOOD"
"401","COLD WAVE"
"402","MARINE ACCIDENT"
"403","HEAVY SURF AND WIND"
"404","TSTM WIND (G45)"
"405","LIGHT SNOW"
"406","HEAVY SEAS"
"407","HIGH WATER"
"408","COLD WEATHER"
"409","RIVER FLOODING"
"410","ICE STORM/FLASH FLOOD"
"411","HURRICANE OPAL/HIGH WINDS"
"412","THUNDERSNOW"
"413","TORNADO F3"
"414","HEAVY SNOW AND HIGH WINDS"
"415","FOG AND COLD TEMPERATURES"
"416","UNSEASONABLY COLD"
"417","DROUGHT/EXCESSIVE HEAT"
"418","HURRICANE EDOUARD"
"419","HEAVY SNOW SHOWER"
"420","WARM WEATHER"
"421","ROGUE WAVE"
"422","BRUSH FIRE"
"423","HURRICANE OPAL"
"424","WINDS"
"425","HURRICANE-GENERATED SWELLS"
"426","COLD TEMPERATURE"
"427","GUSTY WIND"
"428","EXCESSIVE SNOW"
"429","FALLING SNOW/ICE"
"430","THUNDERSTORM WINDS/HAIL"
"431","HIGH"
"432","DRY MIRCOBURST WINDS"
